Time,Gojek,Grab,Maxim,Motor Honda Putih,Motor Honda Hitam,Motor Yamaha Putih,Motor Yamaha Hitam,Mobil Putih Toyota,Mobil Hitam Toyota,Mobil Putih Honda,Mobil Hitam Honda
05.00 - 05.05,0,0,0,5,6,3,5,0,0,0,0
05.05 - 05.10,1,0,0,8,12,2,9,0,1,0,0
05.10 - 05.15,2,1,1,10,15,4,7,1,1,0,2
05.15 - 05.20,1,2,1,13,15,5,5,1,1,1,1
05.20 - 05.25,1,1,0,6,11,10,13,0,0,0,1
05.25 - 05.30,2,3,2,7,17,11,14,2,2,0,0
05.30 - 05.35,1,2,0,12,14,8,9,1,0,0,2
05.35 - 05.40,2,1,2,9,10,7,7,0,2,1,0
05.40 - 05.45,6,3,0,10,17,8,7,1,3,1,0
05.45 - 05.50,2,4,2,11,15,7,9,2,3,1,0
05.50 - 05.55,3,2,0,5,18,5,9,3,1,0,0
05.55 - 06.00,5,3,2,7,19,6,11,1,3,1,1
13.00 - 13.05,4,3,2,12,15,11,13,2,2,1,2
13.05 - 13.10,2,4,1,8,12,9,10,0,4,2,3
13.10 - 13.15,6,2,1,11,15,9,12,1,3,7,4
13.15 - 13.20,10,6,0,10,21,7,16,5,2,6,4
13.20 - 13.25,6,3,0,22,29,19,27,5,4,3,3
13.25 - 13.30,8,4,2,20,26,19,21,6,7,5,6
13.30 - 13.35,9,5,0,12,19,12,10,3,3,4,5
13.35 - 13.40,12,5,1,9,27,8,11,7,5,1,3
13.40 - 13.45,9,6,0,14,28,5,10,3,6,3,2
13.45 - 13.50,10,7,3,9,25,4,12,3,6,2,4
13.50 - 13.55,10,8,1,12,20,12,14,4,4,2,4
13.55 - 13.00,9,8,2,10,22,9,11,6,5,2,3
20.00 - 20.05,11,8,0,15,22,12,19,3,5,2,4
20.05 - 20.10,8,6,1,12,34,11,12,4,2,1,3
20.10 - 20.15,5,6,1,9,28,5,12,3,3,1,2
20.15 - 20.20,6,4,1,11,19,13,17,2,4,2,2
20.20 - 20.25,12,10,1,19,17,3,14,3,2,1,2
20.25 - 20.30,5,9,3,16,31,4,15,5,6,4,5
20.30 - 20.35,4,7,0,4,33,10,7,3,5,2,7
20.35 - 20.40,11,8,1,5,14,9,10,3,3,4,4
20.40 - 20.45,6,3,1,5,29,7,9,2,2,2,3
20.45 - 20.50,11,2,2,16,10,8,13,4,3,3,2
20.50 - 20.55,9,3,2,6,13,3,12,2,2,2,3
20.55 - 20.00,7,3,0,12,11,6,10,2,4,2,1
