Time,Gojek,Grab,Maxim,Motor Honda Putih,Motor Honda Hitam,Motor Yamaha Putih,Motor Yamaha Hitam,Mobil Putih Toyota,Mobil Hitam Toyota,Mobil Putih Honda,Mobil Hitam Honda
05.00 - 05.05,0,0,0,4,7,0,3,0,0,0,0
05.05 - 05.10,0,1,1,5,10,1,5,0,1,1,0
05.10 - 05.15,1,0,1,7,12,3,7,1,1,0,1
05.15 - 05.20,2,0,0,8,18,0,9,0,1,1,1
05.20 - 05.25,2,2,2,8,17,4,6,1,2,0,0
05.25 - 05.30,4,1,1,15,16,2,9,3,3,0,1
05.30 - 05.35,5,1,1,17,23,8,9,1,0,1,0
05.35 - 05.40,8,5,1,21,18,5,11,2,2,3,1
05.40 - 05.45,6,4,1,8,15,8,9,1,0,0,1
05.45 - 05.50,13,4,3,10,18,1,6,0,1,1,2
05.50 - 05.55,5,0,2,18,21,8,13,3,2,2,1
05.55 - 06.00,6,3,3,7,23,4,4,2,4,3,4
11.00 - 11.05,7,3,1,19,31,6,8,7,2,1,1
11.05 - 11.10,10,1,1,19,21,5,3,6,5,1,0
11.10 - 11.15,4,7,0,10,32,4,22,0,8,4,4
11.15 - 11.20,9,7,2,14,30,3,15,3,3,2,2
11.20 - 11.25,15,8,1,19,21,12,9,3,5,0,6
11.25 - 11.30,16,10,3,14,31,15,14,2,4,6,3
11.30 - 11.35,11,9,1,8,15,6,10,4,7,3,4
11.35 - 11.40,6,4,0,18,33,18,22,1,5,7,2
11.40 - 11.45,5,4,0,12,26,17,13,5,5,9,0
11.45 - 11.50,5,7,2,8,12,5,8,2,3,6,9
11.50 - 11.55,7,3,1,9,20,9,14,5,4,0,1
11.55 - 11.00,11,6,1,15,23,15,19,4,2,4,1
20.00 - 20.05,9,2,0,15,18,5,13,5,2,2,2
20.05 - 20.10,8,1,0,15,32,3,17,2,5,2,4
20.10 - 20.15,7,6,1,5,24,5,13,4,2,1,1
20.15 - 20.20,4,3,1,11,19,7,12,2,4,0,2
20.20 - 20.25,10,3,2,19,13,3,10,2,5,0,3
20.25 - 20.30,14,7,2,20,25,0,19,5,5,1,2
20.30 - 20.35,7,8,2,7,30,2,15,4,5,3,4
20.35 - 20.40,13,5,0,5,25,3,10,3,4,0,2
20.40 - 20.45,5,3,0,8,24,8,9,1,2,3,3
20.45 - 20.50,5,2,1,9,17,2,13,0,0,0,4
20.50 - 20.55,8,2,0,11,20,4,9,1,3,3,2
20.55 - 20.00,3,3,1,15,21,6,12,3,1,2,3
